"ID","Vetenskapligt namn","Order","Minsta order","Pris med moms","Plantskola","rekomenderas","kommentar","Ätligt","Zon","Storlekskommentar","Typ","höjd","Kruka","Lager","Länk"
"","Acer palmatum 'Red Emperor'","","","1400","S","","","","","","T","40-60","C9","",""
"","Betula pendula 'Youngii'","","","3143","S","","tårbjörk","","6","","T","240-260","C30 Pa","",""
"","Abies procera 'Glauca'","","","743","S","","","","","","B","30-40","C5","",""
"","Acer rubrum 'Celebration'","","","914","S","YES","rödlönn","","","","T","160-180","C7,5","",""
"","Acer palmatum 'Tamukeyama'","","","2619","S","YES","","","","","T","80-100","C12","",""
"","Aster sedifolius 'Nanus'","","","62","BS","YES","","","","","P","","C2","",""
"","Aruncus aethusifolius","","","70","Li","","koreansk plymspirea","","","","P","","C2",4,""
"","Alnus glutinosa 'Aurea'","","","686","S","","","YES","","","T","100-120","C5","",""
"","Amelanchier alnifolia GREATBERRY AROMA","","","493","S","","bärhäggmispel, ätbar","","5","busk","T","60-80","C5","",""
"","Acer platanoides 'Marylka' (syn. 'Beskid')","","","1546","S","","","","","","T","120-140","C10 Pa","",""
"","Arabis caucasica 'comp. Little Treasure™ White'","",12,"28","BS","","","","","","P","","P9","",""
"","Brunnera macrophylla 'Sea Heart'","","","120","BS","","","","","","P","","C2","",""
"","Buddleja davidii PSYCHEDELIC SKY 'PIIBD-III' PBR","","","400","S","","","","","","T","60-80","C5","",""
"","Achillea millefolium 'Cerise Queen'","","","42","BS","","","YES","","","P","","P11","",""
"","Astilbe x arendsii 'Color Flash'","","","62","BS","","","","","","P","","P11","",""
"","Amelanchier canadensis 'Rainbow Pillar'","","","171","KZ","","bra val till mindre trädgård","","","","T","","C2","",""
"","Aster novi-belgii 'Karminkuppel'","","","74","S","","","","","","P","","C2","",""
"","Astilbe simplicifolia 'Henny Graafland'","","","62","BS","","","YES","","","P","","P11","",""
"","Aubrieta x cultorum 'Axcent Light Blue'","","","42","BS","","","","","","P","","P11","",""
"","Armeria maritima 'Armada™ White'","","","62","BS","","","","","","P","","C2","",""
"","Acer palmatum 'Momoire-koyasan'","","","2828","S","","","","","","T","80-100","C9","",""
"","Acer shirasawanum 'Johin'","","","1257","S","","","","","","T","40-60","C6","",""
"","Ajuga reptans 'Braunherz'","",12,"28","BS","","","","","","P","","P9","",""
"","Allium ampeloprasum var. ampeloprasum","","","38","KZ","","","","","","P","","P9","",""
"","Astilbe japonica 'Montgomery'","","","62","BS","","","","","","P","","C2","",""
"","Anemone japonica 'Rosenschale'","","","42","BS","","","","","","P","","P11","",""
"","Amelanchier lamarckii","","","278","S","","","","","","T","60-80","C5","",""
"","Acer palmatum 'Shirazz'","","","1400","S","","","","","","T","40-60 ","C9","",""
"","Acer palmatum ","","","375","Si","","japansk lönn, rena grönbladiga arten","","2","","T","80-100","C3",1,""
"","Achillea millefolium 'Hella Glashoff'","","","62","BS","","","","","","P","","C2","",""
"","Alcea rosea 'plena Chaters Rosa'","","","42","BS","","","","","","P","","P11","",""
"","Bergenia cordifolia 'Rose'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer griseum ex Vågsäter, fin form.","","","456","A","","","","","flrstm.","T","40-60","C3,5",14,""
"","Acer conspicum 'Phoenix'","","","1560","A","","parkstrimlönn, (davidii x pensylvanicum), ormskinnsliknande rödvitstrimmig bark för woodlandmiljö","","","ymp","T","240","C15/20",3,""
"","Allium schoenoprasum","","","49","Si","","","","","","P","","C1,5",53,""
"","Berberis thunbergii 'Golden Nugget'","","","197","S","","","","","","T","20-25","C3","",""
"","Allium x proliferum","","","38","KZ","","","","","","P","","P9","",""
"","Abelia mosanensis 'BRIDAL BOUQUET 'Monia'","","","364","S","","","","","","T","40-60","C5","",""
"","Allium ledebourianum","","","45","KZ","","","","","","P","","P9","",""
"","Abies koreana 'Brillant'","","","4861","S","","","","","","B","","C35 50/60","",""
"","Berberis thunbergii GOLDEN HORIZON 'Hoho 2' PBR","","","211","S","","","","","","T","30-40","C3","",""
"","Aster dumosus 'Heinz Richard'","","","42","BS","","","","","","P","","P11","",""
"","Actinidia deliciosa 'Solissimo'","","","92","KZ","","","","","","K","","P9","",""
"","Bergenia cordifolia 'Dawid'","","","62","BS","","","","","","P","","C2","",""
"","Betula pendula 'Youngii'","","","960","Si","","tårbjörk","","6","ympad på stam","T","Pa 140-160","C10",3,""
"","Betula pendula 'Schneverdingen Goldbirke'","","","829","S","","","","","","T","220-240 ","C12","",""
"","Amsonia tabernaemontana","","","74","BS","","","","","","P","","P11","","https://www.instagram.com/p/CKpNuhcJtoc/"
"","Aster speciosus 'Connecticut'","","","62","BS","","","","","","P","","C2","",""
"","Acer campestre 'William Caldwell'","","","1114","S","","","","","","T","100-120","C10","",""
"","Asplenium scolopendrium 'Angustifolium'","","","78","Si","","","","","","O","","P11",31,""
"","Ajuga reptans 'Alba'","",12,"28","BS","","vitblommig revsuga (grönbladig)","","","","P","","P9","",""
"","Aquilegia vulgaris 'Winky Red & White Double'","","","62","BS","","","","","","P","","C2","",""
"","Berberis thunbergii 'Green Carpet'","","","147","S","","låg sort med speciell, bredväxande stil","","","","T","25-30","C3","",""
"","Achillea millefolium 'Inca Gold'","","","42","BS","","","","","","P","","P11","",""
"","Acer platanoides 'Princeton Gold'","","","2560","Si","","","","","ympad på stam","T","Pa 150","C40",1,""
"","Buddleja davidii 'Dark Purple' ","","","60","KZ","","","","","","T","","P9","",""
"","Aster alpinus 'Albus'","",12,"28","BS","","","","","","P","","P9","",""
"","Aesculus neglecta (x) 'Erythroblastos'","","","829","S","","väldigt unikt utspring i laxrosa!","","","","T","60-80","C7,5","",""
"","Betula pendula 'Fastigiata'","","","629","S","","","","","","T","100-120","C5","",""
"","Aster alpinus 'Violet'","","","49","Si","","","","","","P","","P13",264,""
"","Achillea millefolium 'Paprica'","",12,"28","BS","","","","","","P","","P9","",""
"","Aesculus 'Digitata'","","","1072","S","","","","","","T","160-180","C7,5","",""
"","Berberis thunbergii 'Red Rocket'","","","128","Si","","","","","","T","20-30","C2",8,""
"","Ajuga reptans 'Gold Chang' PBR","","","39","Si","","","","","","P","","P11",7,""
"","Buddleja davidii 'Peacock 'PBR ","","","240","Si","","","","","","T","60-80","C5",6,""
"","Abies veitchii 'Kramer'","","","457","S","","","","","","B","20-30","C3","",""
"","Bistorta amplexicaulis 'Speciosa'","","","85","BS","","","","","","P","","C2","",""
"","Abelia mosaiensis","","","330","A","","","","","","T","40-50","C5/7,5",24,""
"","Anacyclus depressus 'com. Silberkissen'","",12,"28","BS","","","","","","P","","P9","",""
"","Aquilegia vulgaris 'Woodside Strain'","",12,"28","BS","","","","","","P","","P9","",""
"","Aesculus 'Laciniata'","","","4143","S","","","","","","T","180-200","C90 klump","",""
"","Aesculus pavia 'Humilis'","","","500","S","","","","","","T","140-160","C20 Pa","",""
"","Aquilegia vulgaris 'Black Barlow'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer rubrum 'Red Sunset'","","","4429","S","","rödlönn","","","","T","360-380/stamomf 6-8","C45 Pa","",""
"","Acer negundo 'Winter Lightening'","","","2214","S","","","","","","T","240-260","C45","",""
"","Achillea filipendulina 'Cloth of Gold'","",12,"33","BS","","","","","","P","","P9","",""
"","Amelanchier arborea 'Robin Hill'","","","686","S","","bra val om man vill bygga upp trädform","","","busk","T","80-100","C7,5","",""
"","Berberis thunbergii 'Kobold'","","","154","S","","","","","","T","20-25","C3","",""
"","Acer palmatum 'Inaba-shidare'","","","5946","S","","","","","","T","","C50 80-100 cm.","",""
"","Amphicarpa bracteata    ","","","23","KZ","","","","","","K","","P9","",""
"","Bergenia 'Abendglut'","","","357","S","","","","","","P","","C5","",""
"","Anemone canadensis","",12,"28","BS","","","","","","P","","P9","",""
"","Achillea filipendulina 'Altgold'","","","42","BS","","","","","","P","","P11","",""
"","Aster pringlei 'Monte Cassino'","","","62","BS","","","","","","P","","P11","",""
"","Bergenia cordifolia 'Eroica'","","","62","BS","","","","","","P","","C2","",""
"","Acer palmatum 'Crimson Queen'","","","1643","S","","","","","","T","60-80","C5","",""
"","Agrimonia eupatoria","",12,"33","BS","","","","","","P","","P9","",""
"","Achillea filipendulina 'Coronation Gold'","","","42","BS","","","","","","P","","P11","",""
"","Acer pentaphyllum","","","1743","S","","dödligt vacker men inte så härdig","","växthus","","T","200-220","C15 Pa","","https://www.instagram.com/p/CEBPvwgjoHO/"
"","Abies koreana","","","1755","S","","","","","","B","120-140","C43 klump","",""
